captured_at,screen_id,evidence_type,screenshot,ui_xml,activity_dump,recording,notes
"2026-08-01T13:06:30.1744968-04:00","000_emulator_baseline","screen-state","evidence\screenshots\000_emulator_baseline-20260801-130625.png","evidence\ui-xml\000_emulator_baseline-20260801-130625.xml","evidence\activity\000_emulator_baseline-20260801-130625.txt","",""
"2026-08-01T13:07:01.1565041-04:00","001_launch_default","screen-state","evidence\screenshots\001_launch_default-20260801-130657.png","evidence\ui-xml\001_launch_default-20260801-130657.xml","evidence\activity\001_launch_default-20260801-130657.txt","",""
"2026-08-01T13:07:48.0380371-04:00","002_welcome_default","screen-state","evidence\screenshots\002_welcome_default-20260801-130744.png","evidence\ui-xml\002_welcome_default-20260801-130744.xml","evidence\activity\002_welcome_default-20260801-130744.txt","",""
"2026-08-01T13:08:36.1223557-04:00","003_notification_permission_dialog","screen-state","evidence\screenshots\003_notification_permission_dialog-20260801-130832.png","evidence\ui-xml\003_notification_permission_dialog-20260801-130832.xml","evidence\activity\003_notification_permission_dialog-20260801-130832.txt","",""
"2026-08-01T13:09:06.3667572-04:00","004_welcome_notifications_granted","screen-state","evidence\screenshots\004_welcome_notifications_granted-20260801-130902.png","evidence\ui-xml\004_welcome_notifications_granted-20260801-130902.xml","evidence\activity\004_welcome_notifications_granted-20260801-130902.txt","",""
"2026-08-01T13:09:33.6059369-04:00","005_background_access_system","screen-state","evidence\screenshots\005_background_access_system-20260801-130930.png","evidence\ui-xml\005_background_access_system-20260801-130930.xml","evidence\activity\005_background_access_system-20260801-130930.txt","",""
"2026-08-01T13:10:05.9931916-04:00","006_welcome_background_allowed","screen-state","evidence\screenshots\006_welcome_background_allowed-20260801-131002.png","evidence\ui-xml\006_welcome_background_allowed-20260801-131002.xml","evidence\activity\006_welcome_background_allowed-20260801-131002.txt","",""
"2026-08-01T13:10:36.9897810-04:00","007_notification_access_system","screen-state","evidence\screenshots\007_notification_access_system-20260801-131033.png","evidence\ui-xml\007_notification_access_system-20260801-131033.xml","evidence\activity\007_notification_access_system-20260801-131033.txt","",""
"2026-08-01T13:11:04.1089435-04:00","008_notification_access_warning","screen-state","evidence\screenshots\008_notification_access_warning-20260801-131100.png","evidence\ui-xml\008_notification_access_warning-20260801-131100.xml","evidence\activity\008_notification_access_warning-20260801-131100.txt","",""
"2026-08-01T13:11:29.8116372-04:00","009_notification_access_confirmation","screen-state","evidence\screenshots\009_notification_access_confirmation-20260801-131126.png","evidence\ui-xml\009_notification_access_confirmation-20260801-131126.xml","evidence\activity\009_notification_access_confirmation-20260801-131126.txt","",""
"2026-08-01T13:12:16.0827986-04:00","010_home_empty","screen-state","evidence\screenshots\010_home_empty-20260801-131212.png","evidence\ui-xml\010_home_empty-20260801-131212.xml","evidence\activity\010_home_empty-20260801-131212.txt","",""
"2026-08-01T13:12:44.7570460-04:00","011_explore_default","screen-state","evidence\screenshots\011_explore_default-20260801-131241.png","evidence\ui-xml\011_explore_default-20260801-131241.xml","evidence\activity\011_explore_default-20260801-131241.txt","",""
"2026-08-01T13:13:13.5521155-04:00","012_article_focused","screen-state","evidence\screenshots\012_article_focused-20260801-131310.png","evidence\ui-xml\012_article_focused-20260801-131310.xml","evidence\activity\012_article_focused-20260801-131310.txt","",""
"2026-08-01T13:13:42.4744854-04:00","013_history_empty","screen-state","evidence\screenshots\013_history_empty-20260801-131338.png","evidence\ui-xml\013_history_empty-20260801-131338.xml","evidence\activity\013_history_empty-20260801-131338.txt","",""
"2026-08-01T13:14:11.9637686-04:00","014_history_search_empty","screen-state","evidence\screenshots\014_history_search_empty-20260801-131408.png","evidence\ui-xml\014_history_search_empty-20260801-131408.xml","evidence\activity\014_history_search_empty-20260801-131408.txt","",""
"2026-08-01T13:14:33.8314710-04:00","015_history_search_no_results","screen-state","evidence\screenshots\015_history_search_no_results-20260801-131430.png","evidence\ui-xml\015_history_search_no_results-20260801-131430.xml","evidence\activity\015_history_search_no_results-20260801-131430.txt","",""
"2026-08-01T13:15:04.7841790-04:00","016_settings_default","screen-state","evidence\screenshots\016_settings_default-20260801-131501.png","evidence\ui-xml\016_settings_default-20260801-131501.xml","evidence\activity\016_settings_default-20260801-131501.txt","",""
"2026-08-01T13:15:26.5791360-04:00","017_settings_scrolled_1","screen-state","evidence\screenshots\017_settings_scrolled_1-20260801-131523.png","evidence\ui-xml\017_settings_scrolled_1-20260801-131523.xml","evidence\activity\017_settings_scrolled_1-20260801-131523.txt","",""
"2026-08-01T13:15:45.4422561-04:00","018_settings_scrolled_2","screen-state","evidence\screenshots\018_settings_scrolled_2-20260801-131542.png","evidence\ui-xml\018_settings_scrolled_2-20260801-131542.xml","evidence\activity\018_settings_scrolled_2-20260801-131542.txt","",""
"2026-08-01T13:16:05.6020365-04:00","019_settings_scrolled_3","screen-state","evidence\screenshots\019_settings_scrolled_3-20260801-131602.png","evidence\ui-xml\019_settings_scrolled_3-20260801-131602.xml","evidence\activity\019_settings_scrolled_3-20260801-131602.txt","",""
"2026-08-01T13:16:31.2969924-04:00","020_settings_scrolled_4","screen-state","evidence\screenshots\020_settings_scrolled_4-20260801-131628.png","evidence\ui-xml\020_settings_scrolled_4-20260801-131628.xml","evidence\activity\020_settings_scrolled_4-20260801-131628.txt","",""
"2026-08-01T13:17:43.4260372-04:00","021_mute_mode_dialog","screen-state","evidence\screenshots\021_mute_mode_dialog-20260801-131739.png","evidence\ui-xml\021_mute_mode_dialog-20260801-131739.xml","evidence\activity\021_mute_mode_dialog-20260801-131739.txt","",""
"2026-08-01T13:18:18.1316047-04:00","022_mute_importance_dialog","screen-state","evidence\screenshots\022_mute_importance_dialog-20260801-131814.png","evidence\ui-xml\022_mute_importance_dialog-20260801-131814.xml","evidence\activity\022_mute_importance_dialog-20260801-131814.txt","",""
"2026-08-01T13:19:03.6529196-04:00","023_notification_history_dialog","screen-state","evidence\screenshots\023_notification_history_dialog-20260801-131900.png","evidence\ui-xml\023_notification_history_dialog-20260801-131900.xml","evidence\activity\023_notification_history_dialog-20260801-131900.txt","",""
"2026-08-01T13:19:32.3795031-04:00","024_history_retention_dialog","screen-state","evidence\screenshots\024_history_retention_dialog-20260801-131928.png","evidence\ui-xml\024_history_retention_dialog-20260801-131928.xml","evidence\activity\024_history_retention_dialog-20260801-131928.txt","",""
"2026-08-01T13:20:14.7428506-04:00","025_create_shortcut_empty","screen-state","evidence\screenshots\025_create_shortcut_empty-20260801-132011.png","evidence\ui-xml\025_create_shortcut_empty-20260801-132011.xml","evidence\activity\025_create_shortcut_empty-20260801-132011.txt","",""
"2026-08-01T13:21:06.6477332-04:00","026_automatic_backups_dialog","screen-state","evidence\screenshots\026_automatic_backups_dialog-20260801-132103.png","evidence\ui-xml\026_automatic_backups_dialog-20260801-132103.xml","evidence\activity\026_automatic_backups_dialog-20260801-132103.txt","",""
"2026-08-01T13:21:38.9550568-04:00","027_theme_dialog","screen-state","evidence\screenshots\027_theme_dialog-20260801-132135.png","evidence\ui-xml\027_theme_dialog-20260801-132135.xml","evidence\activity\027_theme_dialog-20260801-132135.txt","",""
"2026-08-01T13:22:09.5104484-04:00","028_language_system","screen-state","evidence\screenshots\028_language_system-20260801-132206.png","evidence\ui-xml\028_language_system-20260801-132206.xml","evidence\activity\028_language_system-20260801-132206.txt","",""
"2026-08-01T13:23:01.3815943-04:00","029_rule_builder_default","screen-state","evidence\screenshots\029_rule_builder_default-20260801-132257.png","evidence\ui-xml\029_rule_builder_default-20260801-132257.xml","evidence\activity\029_rule_builder_default-20260801-132257.txt","",""
"2026-08-01T13:23:39.6545601-04:00","030_app_selector","screen-state","evidence\screenshots\030_app_selector-20260801-132335.png","evidence\ui-xml\030_app_selector-20260801-132335.xml","evidence\activity\030_app_selector-20260801-132335.txt","",""
"2026-08-01T13:24:20.8116679-04:00","031_app_selector_search","screen-state","evidence\screenshots\031_app_selector_search-20260801-132417.png","evidence\ui-xml\031_app_selector_search-20260801-132417.xml","evidence\activity\031_app_selector_search-20260801-132417.txt","",""
"2026-08-01T13:25:11.8327409-04:00","032_condition_match_type_dialog","screen-state","evidence\screenshots\032_condition_match_type_dialog-20260801-132508.png","evidence\ui-xml\032_condition_match_type_dialog-20260801-132508.xml","evidence\activity\032_condition_match_type_dialog-20260801-132508.txt","",""
"2026-08-01T13:25:35.3902217-04:00","033_phrase_filter_editor","screen-state","evidence\screenshots\033_phrase_filter_editor-20260801-132531.png","evidence\ui-xml\033_phrase_filter_editor-20260801-132531.xml","evidence\activity\033_phrase_filter_editor-20260801-132531.txt","",""
"2026-08-01T13:26:14.4451435-04:00","034_phrase_filter_input","screen-state","evidence\screenshots\034_phrase_filter_input-20260801-132610.png","evidence\ui-xml\034_phrase_filter_input-20260801-132610.xml","evidence\activity\034_phrase_filter_input-20260801-132610.txt","",""
"2026-08-01T13:27:02.5136096-04:00","035_filter_with_phrase","screen-state","evidence\screenshots\035_filter_with_phrase-20260801-132659.png","evidence\ui-xml\035_filter_with_phrase-20260801-132659.xml","evidence\activity\035_filter_with_phrase-20260801-132659.txt","",""
"2026-08-01T13:27:46.8393505-04:00","036_extras_filter_selector","screen-state","evidence\screenshots\036_extras_filter_selector-20260801-132743.png","evidence\ui-xml\036_extras_filter_selector-20260801-132743.xml","evidence\activity\036_extras_filter_selector-20260801-132743.txt","",""
"2026-08-01T13:28:28.4206779-04:00","037_extras_filter_selector_scrolled","screen-state","evidence\screenshots\037_extras_filter_selector_scrolled-20260801-132825.png","evidence\ui-xml\037_extras_filter_selector_scrolled-20260801-132825.xml","evidence\activity\037_extras_filter_selector_scrolled-20260801-132825.txt","",""
"2026-08-01T13:29:04.5255378-04:00","038_extras_filter_selector_bottom","screen-state","evidence\screenshots\038_extras_filter_selector_bottom-20260801-132901.png","evidence\ui-xml\038_extras_filter_selector_bottom-20260801-132901.xml","evidence\activity\038_extras_filter_selector_bottom-20260801-132901.txt","",""
"2026-08-01T13:29:37.1282060-04:00","039_filter_group_default","screen-state","evidence\screenshots\039_filter_group_default-20260801-132933.png","evidence\ui-xml\039_filter_group_default-20260801-132933.xml","evidence\activity\039_filter_group_default-20260801-132933.txt","",""
"2026-08-01T13:30:19.3354198-04:00","040_filter_operator_dialog","screen-state","evidence\screenshots\040_filter_operator_dialog-20260801-133015.png","evidence\ui-xml\040_filter_operator_dialog-20260801-133015.xml","evidence\activity\040_filter_operator_dialog-20260801-133015.txt","",""
"2026-08-01T13:31:17.3211116-04:00","041_phrase_input_filled","screen-state","evidence\screenshots\041_phrase_input_filled-20260801-133113.png","evidence\ui-xml\041_phrase_input_filled-20260801-133113.xml","evidence\activity\041_phrase_input_filled-20260801-133113.txt","",""
"2026-08-01T13:31:44.5238075-04:00","042_filter_phrase_added","screen-state","evidence\screenshots\042_filter_phrase_added-20260801-133141.png","evidence\ui-xml\042_filter_phrase_added-20260801-133141.xml","evidence\activity\042_filter_phrase_added-20260801-133141.txt","",""
"2026-08-01T13:32:16.4544310-04:00","043_rule_builder_filtered","screen-state","evidence\screenshots\043_rule_builder_filtered-20260801-133213.png","evidence\ui-xml\043_rule_builder_filtered-20260801-133213.xml","evidence\activity\043_rule_builder_filtered-20260801-133213.txt","",""
"2026-08-01T13:35:00.1286817-04:00","044_add_filter_menu","screen-state","evidence\screenshots\044_add_filter_menu-20260801-133456.png","evidence\ui-xml\044_add_filter_menu-20260801-133456.xml","evidence\activity\044_add_filter_menu-20260801-133456.txt","",""
"2026-08-01T13:35:23.1979346-04:00","045_action_selector_top","screen-state","evidence\screenshots\045_action_selector_top-20260801-133519.png","evidence\ui-xml\045_action_selector_top-20260801-133519.xml","evidence\activity\045_action_selector_top-20260801-133519.txt","",""
"2026-08-01T13:35:54.8357886-04:00","046_action_selector_top","screen-state","evidence\screenshots\046_action_selector_top-20260801-133550.png","evidence\ui-xml\046_action_selector_top-20260801-133550.xml","evidence\activity\046_action_selector_top-20260801-133550.txt","",""
"2026-08-01T13:36:23.4264582-04:00","047_action_selector_top","screen-state","evidence\screenshots\047_action_selector_top-20260801-133619.png","evidence\ui-xml\047_action_selector_top-20260801-133619.xml","evidence\activity\047_action_selector_top-20260801-133619.txt","",""
"2026-08-01T13:37:08.2043649-04:00","048_action_selector_top","screen-state","evidence\screenshots\048_action_selector_top-20260801-133704.png","evidence\ui-xml\048_action_selector_top-20260801-133704.xml","evidence\activity\048_action_selector_top-20260801-133704.txt","",""
"2026-08-01T13:38:19.4328209-04:00","049_action_selector_top","screen-state","evidence\screenshots\049_action_selector_top-20260801-133815.png","evidence\ui-xml\049_action_selector_top-20260801-133815.xml","evidence\activity\049_action_selector_top-20260801-133815.txt","",""
"2026-08-01T13:38:40.5863579-04:00","050_action_selector_scroll_1","screen-state","evidence\screenshots\050_action_selector_scroll_1-20260801-133837.png","evidence\ui-xml\050_action_selector_scroll_1-20260801-133837.xml","evidence\activity\050_action_selector_scroll_1-20260801-133837.txt","",""
"2026-08-01T13:38:56.1789231-04:00","051_action_selector_scroll_2","screen-state","evidence\screenshots\051_action_selector_scroll_2-20260801-133852.png","evidence\ui-xml\051_action_selector_scroll_2-20260801-133852.xml","evidence\activity\051_action_selector_scroll_2-20260801-133852.txt","",""
"2026-08-01T13:39:15.8085428-04:00","052_action_selector_scroll_3","screen-state","evidence\screenshots\052_action_selector_scroll_3-20260801-133912.png","evidence\ui-xml\052_action_selector_scroll_3-20260801-133912.xml","evidence\activity\052_action_selector_scroll_3-20260801-133912.txt","",""
"2026-08-01T13:39:34.4828333-04:00","053_action_selector_scroll_4","screen-state","evidence\screenshots\053_action_selector_scroll_4-20260801-133931.png","evidence\ui-xml\053_action_selector_scroll_4-20260801-133931.xml","evidence\activity\053_action_selector_scroll_4-20260801-133931.txt","",""
"2026-08-01T13:39:49.6988125-04:00","054_action_selector_scroll_5","screen-state","evidence\screenshots\054_action_selector_scroll_5-20260801-133946.png","evidence\ui-xml\054_action_selector_scroll_5-20260801-133946.xml","evidence\activity\054_action_selector_scroll_5-20260801-133946.txt","",""
"2026-08-01T13:40:07.2590104-04:00","055_action_selector_scroll_6","screen-state","evidence\screenshots\055_action_selector_scroll_6-20260801-134003.png","evidence\ui-xml\055_action_selector_scroll_6-20260801-134003.xml","evidence\activity\055_action_selector_scroll_6-20260801-134003.txt","",""
"2026-08-01T13:40:23.8423575-04:00","056_action_selector_scroll_7","screen-state","evidence\screenshots\056_action_selector_scroll_7-20260801-134020.png","evidence\ui-xml\056_action_selector_scroll_7-20260801-134020.xml","evidence\activity\056_action_selector_scroll_7-20260801-134020.txt","",""
"2026-08-01T13:40:39.3853855-04:00","057_action_selector_bottom","screen-state","evidence\screenshots\057_action_selector_bottom-20260801-134035.png","evidence\ui-xml\057_action_selector_bottom-20260801-134035.xml","evidence\activity\057_action_selector_bottom-20260801-134035.txt","",""
"2026-08-01T13:40:56.9711810-04:00","058_action_selector_bottom_2","screen-state","evidence\screenshots\058_action_selector_bottom_2-20260801-134053.png","evidence\ui-xml\058_action_selector_bottom_2-20260801-134053.xml","evidence\activity\058_action_selector_bottom_2-20260801-134053.txt","",""
"2026-08-01T13:43:39.2162888-04:00","059_rule_builder_validation_missing","screen-state","evidence\screenshots\059_rule_builder_validation_missing-20260801-134335.png","evidence\ui-xml\059_rule_builder_validation_missing-20260801-134335.xml","evidence\activity\059_rule_builder_validation_missing-20260801-134335.txt","",""
"2026-08-01T13:46:07.5486296-04:00","060_rule_builder_filter_restored","screen-state","evidence\screenshots\060_rule_builder_filter_restored-20260801-134603.png","evidence\ui-xml\060_rule_builder_filter_restored-20260801-134603.xml","evidence\activity\060_rule_builder_filter_restored-20260801-134603.txt","",""
"2026-08-01T13:47:07.7102692-04:00","061_action_selector_mute_selected","screen-state","evidence\screenshots\061_action_selector_mute_selected-20260801-134703.png","evidence\ui-xml\061_action_selector_mute_selected-20260801-134703.xml","evidence\activity\061_action_selector_mute_selected-20260801-134703.txt","",""
"2026-08-01T13:47:22.3608915-04:00","062_rule_builder_complete","screen-state","evidence\screenshots\062_rule_builder_complete-20260801-134718.png","evidence\ui-xml\062_rule_builder_complete-20260801-134718.xml","evidence\activity\062_rule_builder_complete-20260801-134718.txt","",""
"2026-08-01T13:47:49.2516409-04:00","063_rules_populated_test_record","screen-state","evidence\screenshots\063_rules_populated_test_record-20260801-134745.png","evidence\ui-xml\063_rules_populated_test_record-20260801-134745.xml","evidence\activity\063_rules_populated_test_record-20260801-134745.txt","",""
"2026-08-01T13:48:13.2253693-04:00","064_rules_test_record_disabled","screen-state","evidence\screenshots\064_rules_test_record_disabled-20260801-134809.png","evidence\ui-xml\064_rules_test_record_disabled-20260801-134809.xml","evidence\activity\064_rules_test_record_disabled-20260801-134809.txt","",""
"2026-08-01T13:48:34.2622771-04:00","065_rule_overflow_menu","screen-state","evidence\screenshots\065_rule_overflow_menu-20260801-134830.png","evidence\ui-xml\065_rule_overflow_menu-20260801-134830.xml","evidence\activity\065_rule_overflow_menu-20260801-134830.txt","",""
"2026-08-01T13:48:54.2487100-04:00","066_rule_enable_for_dialog","screen-state","evidence\screenshots\066_rule_enable_for_dialog-20260801-134850.png","evidence\ui-xml\066_rule_enable_for_dialog-20260801-134850.xml","evidence\activity\066_rule_enable_for_dialog-20260801-134850.txt","",""
"2026-08-01T13:49:20.1071927-04:00","067_rule_priority_dialog","screen-state","evidence\screenshots\067_rule_priority_dialog-20260801-134916.png","evidence\ui-xml\067_rule_priority_dialog-20260801-134916.xml","evidence\activity\067_rule_priority_dialog-20260801-134916.txt","",""
"2026-08-01T13:51:11.8914256-04:00","068_rule_folder_dialog","screen-state","evidence\screenshots\068_rule_folder_dialog-20260801-135107.png","evidence\ui-xml\068_rule_folder_dialog-20260801-135107.xml","evidence\activity\068_rule_folder_dialog-20260801-135107.txt","",""
"2026-08-01T13:51:41.0394895-04:00","069_rule_rename_dialog","screen-state","evidence\screenshots\069_rule_rename_dialog-20260801-135137.png","evidence\ui-xml\069_rule_rename_dialog-20260801-135137.xml","evidence\activity\069_rule_rename_dialog-20260801-135137.txt","",""
"2026-08-01T13:52:17.5776242-04:00","070_rule_edit_existing","screen-state","evidence\screenshots\070_rule_edit_existing-20260801-135159.png","evidence\ui-xml\070_rule_edit_existing-20260801-135159.xml","evidence\activity\070_rule_edit_existing-20260801-135159.txt","",""
